name_vacancy,min_vacancy_compensation,max_vacancy_compensation,currency_vacancy_compensation,link_vacancy,vacancy_employer,vacancy_address
Data Scientist (команда Коммуникации),350000.0,,руб.,https://krasnoyarsk.hh.ru/vacancy/76096739?from=vacancy_search_list&query=Data+science,ООО HeadHunter::Analytics/Data Science,"Москва, Алексеевская"
Data scientist,200000.0,240000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/74376536?from=vacancy_search_list&query=Data+science,Астор,Москва
Data science,180000.0,210000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/75914060?from=vacancy_search_list&query=Data+science,7RedLines,Москва
"Аналитик корпоративных массивов данных (с навыками в Data Science, Machine Learning)",,,,https://krasnoyarsk.hh.ru/vacancy/76385297?from=vacancy_search_list&query=Data+science,ЭкспрессДеньги,"Москва, Выставочная и еще 2 "
"Bioinformatics Developer, New Zealand",5000.0,7500.0,USD,https://krasnoyarsk.hh.ru/vacancy/76866591?from=vacancy_search_list&query=Data+science,ГК ВИЗАВИ Консалт,Москва
Global Head of Data Science & Analytics,,550000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76765163?from=vacancy_search_list&query=Data+science,Dostavista.ru служба доставки,Москва
"Менеджер по обработке данных (SPSS, SAS, Python)",,,,https://krasnoyarsk.hh.ru/vacancy/76290598?from=vacancy_search_list&query=Data+science,ORO,Москва
"Data scientist, Цены и анализ конкурентов, Матчинг",,,,https://krasnoyarsk.hh.ru/vacancy/76845266?from=vacancy_search_list&query=Data+science,Ozon Информационные технологии,"Москва, Выставочная и еще 2 "
Data Scientist / специалист по работе с данными,,,,https://krasnoyarsk.hh.ru/vacancy/76764137?from=vacancy_search_list&query=Data+science,"билайн: ИТ, Data, Digital",Москва
Стажер Data Scientist,,,,https://krasnoyarsk.hh.ru/vacancy/76705049?from=vacancy_search_list&query=Data+science,Сбер для экспертов,Москва
Data scientist (math modeling),4000.0,10000.0,USD,https://krasnoyarsk.hh.ru/vacancy/76674451?from=vacancy_search_list&query=Data+science,ITSS,Москва
Data Scientist,,,,https://krasnoyarsk.hh.ru/vacancy/76809540?from=vacancy_search_list&query=Data+science,Reckitt,Москва
Data Scientist Middle/Senior,,,,https://krasnoyarsk.hh.ru/vacancy/75722197?from=vacancy_search_list&query=Data+science,Selecty,Москва
Associate Professor - Data Science&AI (eng),,,,https://krasnoyarsk.hh.ru/vacancy/73328853?from=vacancy_search_list&query=Data+science,Университет Иннополис,Москва
Assistant Professor - Data Science&AI (eng),,,,https://krasnoyarsk.hh.ru/vacancy/73328547?from=vacancy_search_list&query=Data+science,Университет Иннополис,Москва
Data Scientist / ML Инженер,,,,https://krasnoyarsk.hh.ru/vacancy/76827021?from=vacancy_search_list&query=Data+science,Stellar Labs,"Москва, Белорусская и еще 1 "
Биоинформатик,60000.0,150000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76037296?from=vacancy_search_list&query=Data+science,Генотек,Москва
Analyst/Data science,,,,https://krasnoyarsk.hh.ru/vacancy/76709116?from=vacancy_search_list&query=Data+science,AliExpress Россия,Москва
Data Analyst (СберБизнес),,,,https://krasnoyarsk.hh.ru/vacancy/76820052?from=vacancy_search_list&query=Data+science,Сбер для экспертов,Москва
Data scientist (RecSys),,,,https://krasnoyarsk.hh.ru/vacancy/75981474?from=vacancy_search_list&query=Data+science,"Компания «СПОРТМАСТЕР», Sportmaster Lab",Москва
Data scientist (remote),200000.0,300000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76417738?from=vacancy_search_list&query=Data+science,Поток.Диджитал,Москва
Senior Data Scientist,,,,https://krasnoyarsk.hh.ru/vacancy/76819740?from=vacancy_search_list&query=Data+science,"ЕвроХим, Минерально-Химическая Компания",Москва
Системный аналитик,150000.0,200000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/75966304?from=vacancy_search_list&query=Data+science,Астор,Москва
Продуктовый аналитик в монетизацию Яндекс.Карт,,,,https://krasnoyarsk.hh.ru/vacancy/75695415?from=vacancy_search_list&query=Data+science,Яндекс,Москва
Senior Data Scientist,,,,https://krasnoyarsk.hh.ru/vacancy/75573623?from=vacancy_search_list&query=Data+science,the_covert,Москва
Менеджер по продажам образовательных программ международной школы Data Science и программирования,30000.0,100000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/76241511?from=vacancy_search_list&query=Data+science,Mathshub,Москва
Digital Data Analyst,,,,https://krasnoyarsk.hh.ru/vacancy/75578672?from=vacancy_search_list&query=Data+science,HS Ad,Москва
Аналитик в команду продаж,,,,https://krasnoyarsk.hh.ru/vacancy/75630898?from=vacancy_search_list&query=Data+science,Яндекс,Москва
Data Scientist (Центр валидации моделей КИБ),,,,https://krasnoyarsk.hh.ru/vacancy/76654236?from=vacancy_search_list&query=Data+science,Сбер. Data Science,"Москва, Кутузовская и еще 1 "
Главный специалист (Машинное обучение и продвинутая аналитика),,,,https://krasnoyarsk.hh.ru/vacancy/73298719?from=vacancy_search_list&query=Data+science,АО Банк ДОМ.РФ,"Москва, Динамо и еще 1 "
Аналитик AdTech,,,,https://krasnoyarsk.hh.ru/vacancy/76736768?from=vacancy_search_list&query=Data+science,Hyper AdTech,Москва
Автор на курс по визуализации данных в Tableau/DataLens,,,,https://krasnoyarsk.hh.ru/vacancy/76753236?from=vacancy_search_list&query=Data+science,Яндекс Практикум,Москва
Исследователь/Research Scientist (Computer Science),,,,https://krasnoyarsk.hh.ru/vacancy/76662887?from=vacancy_search_list&query=Data+science,Криптонит,"Москва, Павелецкая и еще 1 "
TechLead Research Engineer (NLP/Speech),300000.0,400000.0,руб.,https://krasnoyarsk.hh.ru/vacancy/54372021?from=vacancy_search_list&query=Data+science,Контур,Москва
"Team lead, ML направление",,,,https://krasnoyarsk.hh.ru/vacancy/75778917?from=vacancy_search_list&query=Data+science,Эмбедика,Москва
Quantitative researcher,5000.0,7000.0,USD,https://krasnoyarsk.hh.ru/vacancy/76567518?from=vacancy_search_list&query=Data+science,"Агентство 21 век, КЦ",Москва
Product Analyst (Remote),2000.0,,USD,https://krasnoyarsk.hh.ru/vacancy/76821229?from=vacancy_search_list&query=Data+science,LATOKEN,Москва
Client Analyst,,,,https://krasnoyarsk.hh.ru/vacancy/76785474?from=vacancy_search_list&query=Data+science,Яндекс,Москва
Senior / Lead Data scientist,,,,https://krasnoyarsk.hh.ru/vacancy/76655978?from=vacancy_search_list&query=Data+science,ПартКом,Москва
Senior ML Engineer,,,,https://krasnoyarsk.hh.ru/vacancy/73984561?from=vacancy_search_list&query=Data+science,Домклик,Москва
Преподаватель “Программирование на Python”,,,,https://krasnoyarsk.hh.ru/vacancy/75827655?from=vacancy_search_list&query=Data+science,Mathshub,Москва
Python-разработчик в ML,,,,https://krasnoyarsk.hh.ru/vacancy/76717976?from=vacancy_search_list&query=Data+science,Нетология,Москва
Data Engineer в команду «Сеть Продаж»,,,,https://krasnoyarsk.hh.ru/vacancy/70417491?from=vacancy_search_list&query=Data+science,Сбер. Data Science,Москва
Senior/Middle Python разработчик,,,,https://krasnoyarsk.hh.ru/vacancy/74351176?from=vacancy_search_list&query=Data+science,"Лента, федеральная розничная сеть, IT ",Москва
Data Analyst,4000.0,,USD,https://krasnoyarsk.hh.ru/vacancy/76081597?from=vacancy_search_list&query=Data+science,JuneHomes,Москва
